"","V1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"8794","FBgn0030575",24.5808865747492,0.258070949334496,1.187681784937,0.217289641558479,0.827982629099832,0.971126465533561,"CG5321"
"8795","FBgn0030576",289.161175504297,-1.0500756321045,0.264800355072207,-3.9655370998961,7.32308603786499e-05,0.00413826156100528,"CG15890"
"8796","FBgn0030581",170.525150397463,-0.128048959899095,0.302200159227299,-0.423722344245302,0.671768317676449,0.929371128956109,"CG14408"
"8797","FBgn0030582",761.009452195182,0.0244748922637196,0.240457495780135,0.101784692485106,0.918927576168062,0.986385761529577,"CG14411"
"8798","FBgn0030583",15.3305832240735,-0.319889067896821,0.893310258430118,-0.358094027106536,0.72027294876352,0.939996968303305,"CG14410"
"8799","FBgn0030584",587.33264124226,-0.421051376342769,0.286556777678208,-1.4693471212033,0.141738662011544,0.554693210217421,"CG14407"
"8800","FBgn0030588",23.1429705075237,-1.40885102118443,1.27816618183016,-1.10224401272075,0.270355602322942,0.725286083727076,"CG9521"
"8801","FBgn0030593",172.560904928442,0.627374264593767,0.453441852958237,1.38358261483981,0.166486294664967,0.593889680586562,"CG9512"
"8802","FBgn0030594",102.986263687593,-0.230247534221391,0.872117322827838,-0.264009816333901,0.791772354698804,0.959248503380215,"CG9509"
"8803","FBgn0030596",152.900503005558,-0.238714929294582,0.559977315801804,-0.426293927554508,0.66989368216501,0.928880397077855,"CG12398"
"8804","FBgn0030598",33.1023070390243,1.39970057147115,0.725751808849881,1.92862154031596,0.0537778629384913,0.359765945711946,"CG9503"
"8805","FBgn0030600",125.652023068583,-0.448861987663131,0.496793799034321,-0.903517693931847,0.366251201808378,0.799208507596569,"hiw"
"8806","FBgn0030603",854.03095444326,0.00964973363589856,0.211030267647187,0.045726775326995,0.963528022501152,0.994349878556333,"CG5541"
"8807","FBgn0030605",830.109211852637,-0.239788460375153,0.315784281123954,-0.759342610473475,0.44764763420424,0.850630048710662,"ND-B18"
"8808","FBgn0030607",446.578511202115,-0.0665411897393591,0.226628524378424,-0.293613480129486,0.769053273936354,0.953568708798755,"dob"
"8809","FBgn0030608",2099.9114825729,0.248459319722309,0.275967395787677,0.900321282567264,0.367949298309064,0.801295251599691,"Lsd-2"
"8810","FBgn0030610",362.80977826877,-0.212144751086901,0.315687155141461,-0.672009448695618,0.501577681116477,0.872839028971812,"CG9065"
"8811","FBgn0030611",150.779913873295,0.19889407525286,0.38416082966059,0.517736478829934,0.604642142936239,0.91142764452024,"CG15027"
"8812","FBgn0030612",269.607552276851,0.531837322969785,0.282246938361513,1.88429793448667,0.0595246866653415,0.377863759844745,"CG5599"
"8813","FBgn0030613",61.0494871701248,0.440956879747332,0.507591885314166,0.868723264703904,0.384998513280437,0.814317532216038,"Rab3-GEF"
"8814","FBgn0030615",44.8982443412897,2.47041898159949,0.881095139981909,2.80380502569814,0.0050503435597655,0.0864658820153119,"Cyp4s3"
"8815","FBgn0030616",27498.9254594043,-0.0178535655035159,0.287385985849574,-0.0621239948452495,0.950464088777849,0.99179593009652,"RpL37a"
"8816","FBgn0030617",25.5783699682306,-0.437811717887361,0.735469163345368,-0.595282222161325,0.5516548373409,0.892850566014493,"CG9095"
"8817","FBgn0030625",272.469286374515,-0.0391035670164326,0.269916325941112,-0.144872922673688,0.884811205439685,0.983776383371407,"CG5877"
"8818","FBgn0030628",194.080969178755,0.344743455085315,0.297571520430194,1.15852301519623,0.246650665013857,0.701028501541558,"CG9114"
"8819","FBgn0030629",100.285839371807,-0.222100668956615,0.396674753304421,-0.559906238313503,0.575543393433622,0.903380226007431,"CG9123"
"8820","FBgn0030630",662.487701507407,0.150020087249784,0.208138381386232,0.72077089410722,0.47105048585932,0.863012214102212,"CG12608"
"8821","FBgn0030631",852.570989739901,0.0318925529636523,0.323478655131678,0.0985924494791466,0.921461865254696,0.986691782498928,"CG6227"
"8822","FBgn0030634",67.4637764324638,-0.772243062791712,0.517066730010589,-1.49350754548817,0.135304380613312,0.543354238171246,"CG9164"
"8823","FBgn0030638",464.720667668502,-0.383426801961333,0.246040363019243,-1.55838984000907,0.1191408636083,0.515303605181272,"CG11655"
"8824","FBgn0030642",12.1267643061132,1.29445099010302,0.921368063634704,1.40492278948387,0.160044239017885,NA,"CG15642"
"8825","FBgn0030645",110.658184341747,-0.0837286518073942,0.463769125080677,-0.180539512613801,0.856729037411182,0.978244833477037,"CG6308"
"8826","FBgn0030646",329.753076361647,0.53660943345637,0.255423808863598,2.10085910097336,0.0356533365645116,0.282288230711325,NA
"8827","FBgn0030647",72.4050430677039,0.692637167587157,0.90885358657148,0.762099834143838,0.446000421841866,0.849957187570868,"CG6324"
"8828","FBgn0030648",797.277625951118,0.055908923771857,0.251686922712798,0.222136784737343,0.824207403042059,0.970868769472308,"CG6340"
"8829","FBgn0030653",529.294105822499,-0.881400310720528,0.4141085769808,-2.1284280493456,0.0333016095922526,0.272656928536568,"CG7860"
"8830","FBgn0030654",64.2642821643978,0.0139984421024559,0.484954369734004,0.0288654829734476,0.976971874740582,0.996900217885811,"CG15643"
"8831","FBgn0030655",199.080394378319,0.161953174296279,0.277496531653143,0.583622336940456,0.559474428666057,0.896241945275838,"CG9213"
"8832","FBgn0030657",200.233323592901,0.289710901239197,0.330020798577068,0.877856494161358,0.380021601536271,0.810772765487122,"cerv"
"8833","FBgn0030658",398.857287755935,0.652219931217759,0.255341565755772,2.55430379808038,0.010640037628423,0.136895484129978,"CG7872"
"8834","FBgn0030659",302.976086402856,0.106796427726581,0.264462508646996,0.403824452369286,0.68634181391058,0.934217020934107,"CG9215"
"8835","FBgn0030660",263.464710494316,0.297993994837315,0.316995948534218,0.940056162279779,0.34718875341249,0.787046135816567,"CG8097"
"8836","FBgn0030662",177.712092752224,0.385001610298115,0.453182762590482,0.849550428832222,0.395575081979809,0.822545011735793,"CG9220"
"8837","FBgn0030666",28.6339123618895,0.489461292744246,0.697123826456952,0.702115283065096,0.48260727204233,0.868769423001769,"CG12708"
"8838","FBgn0030667",143.302396833833,0.881573179237951,1.43944263439236,0.612440647633101,0.540246255431427,0.886061207659422,"CG15599"
"8839","FBgn0030668",237.340922727519,-0.191612740454782,0.340260773803595,-0.563134969431957,0.573342980866857,0.903312362719588,"CG8128"
"8840","FBgn0030669",447.177693437018,-0.305332759529036,0.287104165181826,-1.06349122220385,0.287559243756727,0.739047922501384,"CG9240"
"8841","FBgn0030670",1104.63394593333,-0.441602981353169,0.272166842630387,-1.62254511638981,0.104686681116666,0.484837090103455,"Pis"
"8842","FBgn0030671",366.471879302124,0.240039827733641,0.276092385927407,0.869418498910561,0.384618268455879,0.814021542650511,"CG8134"
"8843","FBgn0030672",2387.68056374894,0.244106674638178,0.265137269367008,0.920680352562132,0.35721733689251,0.793306060264106,"CG9281"
"8844","FBgn0030673",131.752946030105,-0.188943884690656,0.306982406605079,-0.615487665173351,0.538232712807398,0.885006921040972,"CG15601"
"8845","FBgn0030674",1964.88377287183,-0.041490795416469,0.426493689041219,-0.0972834920716942,0.922501265231998,0.986691782498928,"CG8184"
"8846","FBgn0030675",100.623996066704,-0.606024858330449,0.359131370826709,-1.68747402081695,0.0915122412315227,0.454721171084911,"CG8191"
"8847","FBgn0030676",8.64412933916484,-0.234852996988154,1.13326406421042,-0.207235898856268,0.835825632573211,NA,"CG12379"
"8848","FBgn0030678",301.248807439827,0.275380263618326,0.264421023046844,1.04144617718062,0.297668520653773,0.747065901182153,"CG11679"
