"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0026401","Nipped-B","bam RNAi",66.3190689111188,0.420445212918015
"FBgn0026401","Nipped-B","bam RNAi; HS-bam",117.439850268761,1.23551265666905
"FBgn0026401","Nipped-B","Young WT",46.9569287810577,-0.0688307401990238
"FBgn0026417","Hus1-like","UAS-tkv",18.9454301745362,0
"FBgn0026417","Hus1-like","bam RNAi",18.7115640243255,-0.0170159868790042
"FBgn0026417","Hus1-like","bam RNAi; HS-bam",11.6079508592898,-0.661724422318147
"FBgn0026417","Hus1-like","Young WT",15.9506597437626,-0.234716812996977
"FBgn0026533","Dek","UAS-tkv",104.423371759704,0
"FBgn0026533","Dek","bam RNAi",139.717555853721,0.416607590045352
"FBgn0026533","Dek","bam RNAi; HS-bam",230.856449554291,1.13703711905166
"FBgn0026533","Dek","Young WT",116.700461659131,0.158925239413929
"FBgn0026737","CG6171","UAS-tkv",85.1044472421916,0
"FBgn0026737","CG6171","bam RNAi",88.1939793778183,0.0508585771890999
"FBgn0026737","CG6171","bam RNAi; HS-bam",51.0845950896934,-0.725231020018825
"FBgn0026737","CG6171","Young WT",61.1493679353539,-0.470348034851162
"FBgn0027375","RecQ5","UAS-tkv",22.1353391591393,0
"FBgn0027375","RecQ5","bam RNAi",34.8600958892872,0.632281097293547
"FBgn0027375","RecQ5","bam RNAi; HS-bam",43.9718701082763,0.958924629561779
"FBgn0027375","RecQ5","Young WT",35.1944754536215,0.645671259590508
"FBgn0027868","Nup107","UAS-tkv",90.673394125873,0
"FBgn0027868","Nup107","bam RNAi",67.3781274913588,-0.422968173311818
"FBgn0027868","Nup107","bam RNAi; HS-bam",28.7828040492317,-1.62202349900999
"FBgn0027868","Nup107","Young WT",71.8127072614176,-0.332312837684483
"FBgn0028360","Cdc7","UAS-tkv",27.9391718211169,0
"FBgn0028360","Cdc7","bam RNAi",19.8221058141288,-0.474907654598368
"FBgn0028360","Cdc7","bam RNAi; HS-bam",66.9659922313132,1.23178941801161
"FBgn0028360","Cdc7","Young WT",80.5688910038606,1.49499540206172
"FBgn0029798","CG4078","UAS-tkv",14.2324985724422,0
"FBgn0029798","CG4078","bam RNAi",14.2045709664667,-0.00264749731575544
"FBgn0029798","CG4078","bam RNAi; HS-bam",13.0870851833852,-0.112779476574577
"FBgn0029798","CG4078","Young WT",16.4162134972663,0.193278392926223
"FBgn0029825","CG12728","UAS-tkv",20.7464057106333,0
"FBgn0029825","CG12728","bam RNAi",29.9417408914484,0.508777401033281
"FBgn0029825","CG12728","bam RNAi; HS-bam",17.3630527900376,-0.243971047708722
"FBgn0029825","CG12728","Young WT",19.0006212150333,-0.120732158650956
"FBgn0029977","hdm","UAS-tkv",12.1761120519871,0
"FBgn0029977","hdm","bam RNAi",12.2335092910318,0.00627096022563717
"FBgn0029977","hdm","bam RNAi; HS-bam",7.68101250299402,-0.601989503977305
"FBgn0029977","hdm","Young WT",0.599201624423054,-3.04250098140612
"FBgn0030054","Caf1-180","UAS-tkv",42.5190509560651,0
"FBgn0030054","Caf1-180","bam RNAi",34.6960818849533,-0.285881367119434
"FBgn0030054","Caf1-180","bam RNAi; HS-bam",58.8222490878262,0.459035056008838
"FBgn0030054","Caf1-180","Young WT",69.0813114252776,0.687382676929002
"FBgn0030506","DNAlig4","UAS-tkv",16.6477049220175,0
"FBgn0030506","DNAlig4","bam RNAi",13.6422655348911,-0.269341780795973
"FBgn0030506","DNAlig4","bam RNAi; HS-bam",10.4629474722756,-0.622502521149948
