fbgn,BamHSbam_input_1,BamHSbam_input_2,BamHSbam_input_3,BamHSbam_input_4,BamHSbam_polysome_1,BamHSbam_polysome_2,BamHSbam_polysome_3,BamHSbam_polysome_4,BamRNAi_input_1,BamRNAi_input_2,BamRNAi_input_3,BamRNAi_polysome_1,BamRNAi_polysome_2,BamRNAi_polysome_3,TKV_input_1,TKV_input_2,TKV_polysome_1,TKV_polysome_2,youngWT_input_1,youngWT_input_2,youngWT_polysome_1,youngWT_polysome_2
FBgn0083121,217,294,376,118,275,40,314,109,54,39,96,18,28,139,31,17,0,3,55,132,3,21
FBgn0082944,30,0,8,5,0,0,0,3,3,5,18,0,0,6,2,2,0,0,2,19,0,0
FBgn0082945,0,0,6,12,33,0,0,8,8,23,22,0,0,15,8,1,0,0,4,31,0,0
FBgn0082946,0,0,0,6,0,0,0,3,4,2,18,0,0,8,0,3,0,0,12,15,0,0
FBgn0026372,30135,17408,19631,35399,46757,2003,48191,30242,34740,44628,51386,25755,25260,48674,27302,17126,42653,16139,44719,47065,24993,81598
FBgn0035255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0035256,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FBgn0035260,0,94,8,14,32,0,0,7,28,22,74,0,35,24,8,1,13,0,0,4,0,12
FBgn0035257,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
FBgn0035258,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0
FBgn0027594,1916,2287,2315,2313,3716,748,2885,1852,2717,1163,5114,249,1475,2488,1744,1114,1213,479,1533,2705,344,1015
FBgn0035262,0,199,201,171,61,0,229,188,49,5,65,0,29,23,29,4,0,0,18,20,40,0
FBgn0035263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035264,51,57,25,47,78,0,65,95,279,138,399,98,298,199,203,102,403,123,85,108,132,92
FBgn0035265,0,0,0,0,0,0,0,2,12,3,5,0,10,2,1,10,0,10,0,10,0,12
FBgn0035266,317,39,109,575,472,2,930,586,453,356,439,39,539,935,368,261,406,115,725,1525,530,711
FBgn0035267,80,24,3,386,1,1,378,530,86,116,114,0,90,432,122,57,141,7,182,574,122,290
FBgn0022702,18,0,0,287,91,2,661,386,139,107,162,137,177,834,233,97,647,149,550,1353,510,1132
