"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0026401","Nipped-B","Young WT",0.252687878193343,0.826595115174214
"FBgn0026417","Hus1-like","UAS-tkv",1.12598779806935,0
"FBgn0026417","Hus1-like","bam RNAi",1.35861256964399,0.270942913392789
"FBgn0026417","Hus1-like","bam RNAi; HS-bam",1.10390645025766,-0.0285732763647789
"FBgn0026417","Hus1-like","Young WT",1.7300465175858,0.619619636118962
"FBgn0026533","Dek","UAS-tkv",0.333676505995733,0
"FBgn0026533","Dek","bam RNAi",0.67077509429583,1.00737901238269
"FBgn0026533","Dek","bam RNAi; HS-bam",0.866514011147657,1.37677296668998
"FBgn0026533","Dek","Young WT",0.489258923757716,0.552148054267406
"FBgn0026737","CG6171","UAS-tkv",0.951008800016426,0
"FBgn0026737","CG6171","bam RNAi",0.960856410118389,0.0148621606025011
"FBgn0026737","CG6171","bam RNAi; HS-bam",2.01499631376467,1.08324660346748
"FBgn0026737","CG6171","Young WT",1.12833200999318,0.246661045024873
"FBgn0027375","RecQ5","UAS-tkv",0.384718040119572,0
"FBgn0027375","RecQ5","bam RNAi",0.748345384968081,0.959902791240544
"FBgn0027375","RecQ5","bam RNAi; HS-bam",0.91471956038237,1.24952802023867
"FBgn0027375","RecQ5","Young WT",0.431750135687088,0.166395149372101
"FBgn0027868","Nup107","UAS-tkv",1.63411578547008,0
"FBgn0027868","Nup107","bam RNAi",1.45931289310201,-0.163220962965499
"FBgn0027868","Nup107","bam RNAi; HS-bam",2.37813023175018,0.541317513030552
"FBgn0027868","Nup107","Young WT",1.12869267739559,-0.53385748962491
"FBgn0028360","Cdc7","UAS-tkv",0.282501262913899,0
"FBgn0028360","Cdc7","bam RNAi",1.01709862003676,1.84813035056277
"FBgn0028360","Cdc7","bam RNAi; HS-bam",1.24589332606823,2.14085132728678
"FBgn0028360","Cdc7","Young WT",0.521454073568325,0.884282877664092
"FBgn0029798","CG4078","UAS-tkv",0.74413151908943,0
"FBgn0029798","CG4078","bam RNAi",0.907251638802074,0.285945129418688
"FBgn0029798","CG4078","bam RNAi; HS-bam",1.53931487318073,1.04865883765613
"FBgn0029798","CG4078","Young WT",0.544575380986338,-0.450425865385189
"FBgn0029825","CG12728","UAS-tkv",0.58117357154746,0
"FBgn0029825","CG12728","bam RNAi",0.559353665802077,-0.0552083461707706
"FBgn0029825","CG12728","bam RNAi; HS-bam",1.65483331065192,1.50964489938321
"FBgn0029825","CG12728","Young WT",0.5577843700075,-0.0592615905813199
"FBgn0029977","hdm","UAS-tkv",1.75177446795045,0
"FBgn0029977","hdm","bam RNAi",1.58327824410384,-0.145902231373061
"FBgn0029977","hdm","bam RNAi; HS-bam",1.02937802346644,-0.767044159838704
"FBgn0029977","hdm","Young WT",5.93215345622433,1.75973887145933
"FBgn0030054","Caf1-180","UAS-tkv",0.263017567785406,0
"FBgn0030054","Caf1-180","bam RNAi",0.808463141138632,1.62002283594262
"FBgn0030054","Caf1-180","bam RNAi; HS-bam",1.1278093866598,2.1002921854706
"FBgn0030054","Caf1-180","Young WT",0.263061707184185,0.000242091619668624
"FBgn0030506","DNAlig4","UAS-tkv",0.533757307352425,0
"FBgn0030506","DNAlig4","bam RNAi",0.71707085293536,0.425931761041819
"FBgn0030506","DNAlig4","bam RNAi; HS-bam",1.79900212303265,1.75294106808217
"FBgn0030506","DNAlig4","Young WT",0.781106185031133,0.549334768408545
"FBgn0030657","cerv","UAS-tkv",1.01411032916484,0
"FBgn0030657","cerv","bam RNAi",1.13641870679213,0.164279867788232
"FBgn0030657","cerv","bam RNAi; HS-bam",0.749287209883989,-0.436623887101568
"FBgn0030657","cerv","Young WT",1.16999160535822,0.206283561058949
"FBgn0030877","Arp8","UAS-tkv",0.97813162544103,0
"FBgn0030877","Arp8","bam RNAi",0.829541844926359,-0.237713861672347
"FBgn0030877","Arp8","bam RNAi; HS-bam",1.05718995674495,0.112134100350687
"FBgn0030877","Arp8","Young WT",0.939160108302467,-0.0586574892205061
"FBgn0030931","Xrcc2","UAS-tkv",0.489081722200502,0
"FBgn0030931","Xrcc2","bam RNAi",0.81873882628062,0.743327762760494
"FBgn0030931","Xrcc2","bam RNAi; HS-bam",1.99249479815234,2.02642850287026
"FBgn0030931","Xrcc2","Young WT",0.776671866775443,0.667229658697469
"FBgn0031399","mio","UAS-tkv",1.13904374425713,0
"FBgn0031399","mio","bam RNAi",1.30895516349854,0.200592526644352
"FBgn0031399","mio","bam RNAi; HS-bam",1.52043230279472,0.416658427939049
"FBgn0031399","mio","Young WT",0.746704381245862,-0.609214052794377
"FBgn0031519","Fign","UAS-tkv",1.01782124279717,0
"FBgn0031519","Fign","bam RNAi",1.03274766458989,0.0210035907330994
"FBgn0031519","Fign","bam RNAi; HS-bam",1.76702872036382,0.79584128187577
"FBgn0031519","Fign","Young WT",0.60778242586163,-0.74385734222871
"FBgn0031655","Marcal1","UAS-tkv",0.711461779984143,0
"FBgn0031655","Marcal1","bam RNAi",0.930063784771265,0.386543404516161
"FBgn0031655","Marcal1","bam RNAi; HS-bam",1.19050528635378,0.742715865024522
"FBgn0031655","Marcal1","Young WT",0.456541283936494,-0.640040931098924
"FBgn0031848","Nse1","UAS-tkv",1.59075119237998,0
"FBgn0031848","Nse1","bam RNAi",1.3524750447999,-0.234106228588637
"FBgn0031848","Nse1","bam RNAi; HS-bam",0.98513451115712,-0.691315572974567
"FBgn0031848","Nse1","Young WT",0.543199197122143,-1.55015495067611
"FBgn0031909","CG5181","UAS-tkv",0.845059707731282,0
"FBgn0031909","CG5181","bam RNAi",0.936317522728475,0.147944578890723
"FBgn0031909","CG5181","bam RNAi; HS-bam",0.744501556174655,-0.182778414312799
"FBgn0031909","CG5181","Young WT",0.8588647849525,0.0233777404229453
"FBgn0032368","spag4","UAS-tkv",1,0
"FBgn0032368","spag4","bam RNAi",1,0
"FBgn0032368","spag4","bam RNAi; HS-bam",1,0
"FBgn0032368","spag4","Young WT",1,0
"FBgn0032677","CG5790","UAS-tkv",1,0
"FBgn0032677","CG5790","bam RNAi",1,0
"FBgn0032677","CG5790","bam RNAi; HS-bam",1,0
"FBgn0032677","CG5790","Young WT",1,0
"FBgn0032906","RPA2","UAS-tkv",1.20687556200501,0
"FBgn0032906","RPA2","bam RNAi",1.19525238379355,-0.0139616480170349
"FBgn0032906","RPA2","bam RNAi; HS-bam",1.0238320325491,-0.237297881365158
"FBgn0032906","RPA2","Young WT",0.856217792822377,-0.495227209794058
"FBgn0033549","mms4","UAS-tkv",1.02084749500719,0
"FBgn0033549","mms4","bam RNAi",1.2688801219034,0.313788418994206
"FBgn0033549","mms4","bam RNAi; HS-bam",1.46316112247324,0.519321289711082
"FBgn0033549","mms4","Young WT",1.19473341769444,0.226921386560616
"FBgn0034728","rad50","UAS-tkv",0.369186688853781,0
"FBgn0034728","rad50","bam RNAi",0.632017690221739,0.775614403025891
"FBgn0034728","rad50","bam RNAi; HS-bam",0.748862244121875,1.02034981711514
"FBgn0034728","rad50","Young WT",0.444318357408923,0.267243211728493
"FBgn0034908","CG5543","UAS-tkv",1.1326368998311,0
