FBGN,Symbol,Genotype,Mean_expression,Norm_expression
FBgn0037301,Mms19,16CC 2a 1,0.352304911,0.151380437
FBgn0037301,Mms19,16CC 2a 2,0.323435517,0.12024786
FBgn0037301,Mms19,16CC 2ab,0.254494034,0.043065566
FBgn0037301,Mms19,16CC 2b,0.201595568,-0.019088646
FBgn0037301,Mms19,16CC 3,0.214179648,-0.004058146
FBgn0037301,Mms19,St2,0.315942652,0.112056575
FBgn0037338,Snm1,GSC CB 2CC,0.369837191,0
FBgn0037338,Snm1,4CC,0.23878225,-0.145081819
FBgn0037338,Snm1,8CC,0.147335039,-0.255717694
FBgn0037338,Snm1,16CC 2a 1,0.229780242,-0.155603901
FBgn0037338,Snm1,16CC 2a 2,0.284990844,-0.092246355
FBgn0037338,Snm1,16CC 2ab,0.215150558,-0.172869359
